x,y,theta
-10.5886,9.1871,-3.1157
-10.7886,9.1819,-3.1157
-10.9885,9.1767,-3.1157
-11.1884,9.1715,-3.1157
-11.3884,9.1664,-3.1157
-11.5883,9.1612,-3.1157
-11.7882,9.1560,-3.1157
-11.9882,9.1508,-3.1157
-12.1881,9.1456,-3.1157
-12.3880,9.1404,-3.1157
-12.5880,9.1353,-3.1157
-12.7927,9.1268,-3.0388
-12.9933,9.0861,-2.8440
-13.1822,9.0073,-2.6492
-13.3523,8.8935,-2.4544
-13.4972,8.7488,-2.2596
-13.6113,8.5789,-2.0648
-13.6904,8.3901,-1.8700
-13.7314,8.1896,-1.6752
-13.7367,7.9848,-1.5651
-13.7355,7.7837,-1.5651
-13.7344,7.5823,-1.5651
-13.7332,7.3779,-1.5651
-13.7321,7.1736,-1.5651
-13.7370,6.9688,-1.6239
-13.7479,6.7641,-1.6239
-13.7588,6.5594,-1.6239
-13.7686,6.3547,-1.5807
-13.7676,6.1497,-1.5651
-13.7664,5.9447,-1.5651
-13.7653,5.7397,-1.5651
-13.7641,5.5347,-1.5651
-13.7629,5.3297,-1.5651
-13.7617,5.1247,-1.5651
-13.7605,4.9197,-1.5651
-13.7614,4.7147,-1.6200
-13.7723,4.5100,-1.6239
-13.7832,4.3053,-1.6239
-13.7940,4.1006,-1.6239
-13.7991,3.8957,-1.5841
-13.8018,3.6957,-1.5841
-13.8044,3.4957,-1.5841
-13.8071,3.2957,-1.5841
-13.8098,3.0957,-1.5841
-13.8124,2.8958,-1.5841
-13.8151,2.6958,-1.5841
-13.8177,2.4958,-1.5841
-13.8204,2.2958,-1.5841
-13.8230,2.0952,-1.5841
-13.8257,1.8949,-1.5841
-13.8283,1.6941,-1.5841
-13.8310,1.4897,-1.5841
-13.8338,1.2847,-1.5841
-13.8365,1.0798,-1.5841
-13.8385,0.8748,-1.5499
-13.8143,0.6715,-1.3551
-13.7513,0.4768,-1.1603
-13.6518,0.2980,-0.9655
-13.5195,0.1418,-0.7707
-13.3595,0.0141,-0.5760
-13.1778,-0.0801,-0.3812
-12.9834,-0.1451,-0.3090
-12.7881,-0.2075,-0.3090
-12.5928,-0.2696,-0.2933
-12.3928,-0.3142,-0.1932
-12.1916,-0.3536,-0.1922
-11.9884,-0.3796,-0.0964
-11.7893,-0.3988,-0.0964
-11.5903,-0.4180,-0.0964
-11.3856,-0.4285,-0.0186
-11.1857,-0.4322,-0.0186
-10.9857,-0.4359,-0.0186
-10.7857,-0.4396,-0.0186
-10.5837,-0.4433,-0.0186
-10.3842,-0.4600,-0.1752
-10.1842,-0.4992,-0.1948
-9.9832,-0.5388,-0.1948
-9.7811,-0.5727,-0.1360
-9.5780,-0.6005,-0.1321
-9.3739,-0.6184,-0.0772
-9.1693,-0.6310,-0.0279
-8.9644,-0.6367,-0.0279
-8.7594,-0.6424,-0.0279
-8.5545,-0.6482,-0.0279
-8.3496,-0.6539,-0.0279
-8.1447,-0.6596,-0.0279
-7.9398,-0.6653,-0.0279
-7.7348,-0.6711,-0.0279
-7.5299,-0.6757,0.0126
-7.3249,-0.6714,0.0214
-7.1200,-0.6684,-0.0174
-6.9150,-0.6722,-0.0184
-6.7151,-0.6759,-0.0184
-6.5151,-0.6796,-0.0184
-6.3151,-0.6832,-0.0184
-6.1102,-0.6865,0.0110
-5.9067,-0.6643,0.2058
-5.7107,-0.6049,0.3445
-5.5189,-0.5361,0.3445
-5.3270,-0.4672,0.3445
-5.1349,-0.3997,0.2962
-4.9344,-0.3592,0.1093
-4.7304,-0.3389,0.0570
-4.5255,-0.3386,-0.0104
-4.3205,-0.3407,-0.0104
-4.1155,-0.3428,-0.0104
-3.9105,-0.3450,-0.0104
-3.7055,-0.3468,0.0095
-3.5007,-0.3378,0.0484
-3.2960,-0.3279,0.0484
-3.0912,-0.3180,0.0423
-2.8863,-0.3209,-0.0294
-2.6814,-0.3269,-0.0294
-2.4765,-0.3329,-0.0294
-2.2766,-0.3388,-0.0294
-2.0766,-0.3447,-0.0294
-1.8767,-0.3506,-0.0294
-1.6768,-0.3564,-0.0294
-1.4769,-0.3623,-0.0294
-1.2770,-0.3682,-0.0294
-1.0771,-0.3741,-0.0294
-0.8772,-0.3800,-0.0294
-0.6772,-0.3858,-0.0294
-0.4773,-0.3917,-0.0294
-0.2774,-0.3976,-0.0294
-0.0725,-0.4031,0.0000
0.1312,-0.3832,0.1948
0.3272,-0.3242,0.3896
0.5081,-0.2284,0.5844
0.6721,-0.1055,0.6224
0.8492,-0.0030,0.4276
1.0428,0.0634,0.2328
